date,litecoin
2017-12-31,100
2018-01-07,86
2018-01-14,69
2018-01-21,42
2018-01-28,45
2018-02-04,48
2018-02-11,65
2018-02-18,65
2018-02-25,35
2018-03-04,27
2018-03-11,22
2018-03-18,19
2018-03-25,22
2018-04-01,15
2018-04-08,17
2018-04-15,18
2018-04-22,17
2018-04-29,15
2018-05-06,13
2018-05-13,12
2018-05-20,13
2018-05-27,12
2018-06-03,9
2018-06-10,13
2018-06-17,11
2018-06-24,13
2018-07-01,9
2018-07-08,10
2018-07-15,11
2018-07-22,10
2018-07-29,10
2018-08-05,12
2018-08-12,12
2018-08-19,10
2018-08-26,10
2018-09-02,11
2018-09-09,10
2018-09-16,9
2018-09-23,9
2018-09-30,7
2018-10-07,8
2018-10-14,7
2018-10-21,6
2018-10-28,7
2018-11-04,7
2018-11-11,8
2018-11-18,9
2018-11-25,9
2018-12-02,8
2018-12-09,8
2018-12-16,9
2018-12-23,9
2018-12-30,8
2019-01-06,43
2019-01-13,30
2019-01-20,29
2019-01-27,26
2019-02-03,44
2019-02-10,43
2019-02-17,45
2019-02-24,39
2019-03-03,49
2019-03-10,38
2019-03-17,39
2019-03-24,33
2019-03-31,69
2019-04-07,47
2019-04-14,38
2019-04-21,37
2019-04-28,36
2019-05-05,42
2019-05-12,66
2019-05-19,50
2019-05-26,76
2019-06-02,58
2019-06-09,100
2019-06-16,77
2019-06-23,84
2019-06-30,60
2019-07-07,56
2019-07-14,61
2019-07-21,49
2019-07-28,53
2019-08-04,56
2019-08-11,47
2019-08-18,39
2019-08-25,37
2019-09-01,35
2019-09-08,34
2019-09-15,35
2019-09-22,37
2019-09-29,29
2019-10-06,27
2019-10-13,26
2019-10-20,29
2019-10-27,29
2019-11-03,29
2019-11-10,27
2019-11-17,29
2019-11-24,27
2019-12-01,24
2019-12-08,22
2019-12-15,29
2019-12-22,29
2019-12-29,27
2020-01-05,25
2020-01-12,28
2020-01-19,25
2020-01-26,34
2020-02-02,33
2020-02-09,36
2020-02-16,32
2020-02-23,27
2020-03-01,23
2020-03-08,34
2020-03-15,33
2020-03-22,27
2020-03-29,23
2020-04-05,25
2020-04-12,24
2020-04-19,26
2020-04-26,31
2020-05-03,29
2020-05-10,28
2020-05-17,25
2020-05-24,23
2020-05-31,25
2020-06-07,21
2020-06-14,20
2020-06-21,18
2020-06-28,19
2020-07-05,22
2020-07-12,21
2020-07-19,23
2020-07-26,34
2020-08-02,31
2020-08-09,29
2020-08-16,34
2020-08-23,24
2020-08-30,27
2020-09-06,23
2020-09-13,21
2020-09-20,19
2020-09-27,19
2020-10-04,18
2020-10-11,18
2020-10-18,26
2020-10-25,26
2020-11-01,26
2020-11-08,29
2020-11-15,53
2020-11-22,52
2020-11-29,45
2020-12-06,33
2020-12-13,54
2020-12-20,78
2020-12-27,100
2021-01-03,100
2021-01-10,72
2021-01-17,50
2021-01-24,46
2021-01-31,54
2021-02-07,83
2021-02-14,98
2021-02-21,77
2021-02-28,51
2021-03-07,56
2021-03-14,49
2021-03-21,34
2021-03-28,44
2021-04-04,53
2021-04-11,81
2021-04-18,71
2021-04-25,55
2021-05-02,89
2021-05-09,92
2021-05-16,70
2021-05-23,58
2021-05-30,38
2021-06-06,31
2021-06-13,24
2021-06-20,29
2021-06-27,23
2021-07-04,19
2021-07-11,19
2021-07-18,21
2021-07-25,22
2021-08-01,22
2021-08-08,29
2021-08-15,28
2021-08-22,24
2021-08-29,26
2021-09-05,29
2021-09-12,34
2021-09-19,23
2021-09-26,20
2021-10-03,22
2021-10-10,24
2021-10-17,29
2021-10-24,25
2021-10-31,26
2021-11-07,49
2021-11-14,33
2021-11-21,26
2021-11-28,25
2021-12-05,25
2021-12-12,21
2021-12-19,22
2021-12-26,22
2022-01-02,95
2022-01-09,97
2022-01-16,96
2022-01-23,96
2022-01-30,90
2022-02-06,100
2022-02-13,79
2022-02-20,83
2022-02-27,81
2022-03-06,71
2022-03-13,74
2022-03-20,81
2022-03-27,74
2022-04-03,71
2022-04-10,70
2022-04-17,58
2022-04-24,61
2022-05-01,66
2022-05-08,82
2022-05-15,64
2022-05-22,60
2022-05-29,52
2022-06-05,53
2022-06-12,71
2022-06-19,66
2022-06-26,52
